Organisation,SectorJo,RegionCODE,GovCODE,Status,Total,Budget_life,Budget_prevent,Budget_resilient,admin
ICMC,PROTECTION,1,1711,Planned,400000,0,400000,0,Mafraq
ILO,PROTECTION,2,1705,Completed,700000,0,60000,640000,Amman
ILO,PROTECTION,1,1707,Ongoing,375000,0,45000,330000,Irbid
ILO,PROTECTION,1,1711,Planned,375000,0,45000,330000,Mafraq
IMC,PROTECTION,1,1701,Completed,159600,0,0,159600,Ajlun
IMC,PROTECTION,2,1702,Ongoing,308580,64380,69000,175200,Al Balqa
IMC,PROTECTION,2,1705,Planned,105000,0,100000,5000,Amman
IMC,PROTECTION,1,1707,Completed,1752160,232500,198000,1321660,Irbid
IMC,PROTECTION,1,1708,Ongoing,3000,0,0,3000,Jarash
IMC,PROTECTION,2,1704,Planned,5000,0,0,5000,Karak
IMC,PROTECTION,2,1710,Completed,5000,0,0,5000,Madaba
IMC,PROTECTION,1,1711,Ongoing,871450,126120,84500,660830,Mafraq
IMC,PROTECTION,2,1712,Planned,748710,73380,64500,610830,Zarqa
Internews,PROTECTION,2,1705,Completed,500000,0,500000,0,Amman
IRC,PROTECTION,1,1707,Ongoing,5450000,3400000,1400000,650000,Irbid
IRC,PROTECTION,1,1711,Planned,2600000,1700000,750000,150000,Mafraq
LWF,PROTECTION,1,1711,Completed,400000,0,0,400000,Mafraq
Mercy Corps,PROTECTION,1,1707,Ongoing,2750000,0,2550000,200000,Irbid
Mercy Corps,PROTECTION,1,1711,Planned,2000000,0,1800000,200000,Mafraq
MPDL,PROTECTION,2,1712,Completed,133000,0,133000,0,Zarqa
NICCOD,PROTECTION,2,1712,Ongoing,50000,0,0,50000,Zarqa
NRC,PROTECTION,1,1707,Planned,675000,0,675000,0,Irbid
SC Jordan,PROTECTION,1,1711,Completed,300000,0,300000,0,Mafraq
SCI,PROTECTION,2,1705,Ongoing,635000,0,635000,0,Amman
SCI,PROTECTION,1,1707,Planned,930000,0,930000,0,Irbid
SCI,PROTECTION,2,1704,Completed,152000,0,152000,0,Karak
SCI,PROTECTION,3,1709,Ongoing,107000,0,107000,0,Maan
SCI,PROTECTION,1,1711,Planned,590000,0,590000,0,Mafraq
SCI,PROTECTION,2,1712,Completed,600000,0,300000,300000,Zarqa
TDH,PROTECTION,1,1701,Ongoing,171990,0,171990,0,Ajlun
TDH,PROTECTION,1,1707,Planned,556210,0,556210,0,Irbid
TDH,PROTECTION,1,1708,Completed,171990,0,171990,0,Jarash
TDH,PROTECTION,1,1711,Ongoing,381970,0,381970,0,Mafraq
TDHI,PROTECTION,3,1703,Planned,190000,0,190000,0,Aqaba
TDHI,PROTECTION,3,1706,Completed,182000,0,182000,0,Tafileh
TDHI,PROTECTION,2,1712,Ongoing,124000,0,124000,0,Zarqa
TGH,PROTECTION,2,1705,Planned,455000,0,455000,0,Amman
TGH,PROTECTION,1,1707,Completed,357000,0,357000,0,Irbid
Un Women,PROTECTION,1,1707,Ongoing,380000,80000,300000,0,Irbid
Un Women,PROTECTION,1,1711,Planned,50000,0,50000,0,Mafraq
UNDP,PROTECTION,1,1711,Completed,8700000,0,8700000,0,Mafraq
UNESCO,PROTECTION,2,1705,Ongoing,113473,0,113473,0,Amman
UNESCO,PROTECTION,1,1707,Planned,113473,0,113473,0,Irbid
UNESCO,PROTECTION,1,1711,Completed,113473,0,113473,0,Mafraq
UNESCO,PROTECTION,2,1712,Ongoing,113473,0,113473,0,Zarqa
UNFPA,PROTECTION,1,1701,Planned,73750,41250,22500,10000,Ajlun
UNFPA,PROTECTION,2,1702,Completed,137500,82500,45000,10000,Al Balqa
UNFPA,PROTECTION,2,1705,Ongoing,590000,165000,225000,200000,Amman
UNFPA,PROTECTION,1,1707,Planned,482500,82500,225000,175000,Irbid
UNFPA,PROTECTION,1,1708,Completed,73750,41250,22500,10000,Jarash
UNFPA,PROTECTION,3,1709,Ongoing,110000,55000,45000,10000,Maan
UNFPA,PROTECTION,1,1711,Planned,590000,165000,225000,200000,Mafraq
UNFPA,PROTECTION,2,1712,Completed,307500,82500,75000,150000,Zarqa
UNHCR,PROTECTION,1,1701,Ongoing,224020,0,224020,0,Ajlun
UNHCR,PROTECTION,2,1702,Planned,130000,0,130000,0,Al Balqa
UNHCR,PROTECTION,2,1705,Completed,5479112,4521000,958112,0,Amman
UNHCR,PROTECTION,3,1703,Ongoing,130000,0,130000,0,Aqaba
UNHCR,PROTECTION,1,1707,Planned,1053455,0,1053455,0,Irbid
UNHCR,PROTECTION,1,1708,Completed,172099,0,172099,0,Jarash
